No,日付,分類,関連分類,件名,取引先,部署,担当,金額,状態,メモ
09-021,2026-05-16,会議,契約,契約更新確認 021（契約確認含む）,,営業企画部,田中 美咲,44058,完了,営業企画部で確認中。契約に関連する資料と照合予定。
09-022,2026-05-17,会議,見積,営業定例 022（見積確認含む）,,法務部,高橋 直樹,45428,作成中,法務部で確認中。見積に関連する資料と照合予定。
09-023,2026-05-18,会議,報告,予算レビュー 023（報告確認含む）,,人事部,伊藤 彩,46798,確認待ち,人事部で確認中。報告に関連する資料と照合予定。
09-024,2026-05-19,会議,人事,採用進捗 024（人事確認含む）,,情報システム部,渡辺 誠,48168,承認済,情報システム部で確認中。人事に関連する資料と照合予定。
09-025,2026-05-20,会議,経費,システム移行 025（経費確認含む）,,管理本部,小林 真由,49538,差戻し,管理本部で確認中。経費に関連する資料と照合予定。
09-026,2026-05-21,会議,請求,契約更新確認 026（請求確認含む）,,経理部,佐藤 陽子,50908,保留,経理部で確認中。請求に関連する資料と照合予定。
09-027,2026-05-22,会議,会議,営業定例 027（会議確認含む）,,総務部,鈴木 健太,52278,完了,総務部で確認中。会議に関連する資料と照合予定。
09-028,2026-05-23,会議,契約,予算レビュー 028（契約確認含む）,,営業企画部,田中 美咲,53648,作成中,営業企画部で確認中。契約に関連する資料と照合予定。
09-029,2026-05-24,会議,見積,採用進捗 029（見積確認含む）,,法務部,高橋 直樹,55018,確認待ち,法務部で確認中。見積に関連する資料と照合予定。
09-030,2026-05-25,会議,報告,システム移行 030（報告確認含む）,,人事部,伊藤 彩,56388,承認済,人事部で確認中。報告に関連する資料と照合予定。
09-031,2026-05-26,会議,人事,契約更新確認 031（人事確認含む）,,情報システム部,渡辺 誠,57758,差戻し,情報システム部で確認中。人事に関連する資料と照合予定。
09-032,2026-05-27,会議,経費,営業定例 032（経費確認含む）,,管理本部,小林 真由,59128,保留,管理本部で確認中。経費に関連する資料と照合予定。
09-033,2026-05-28,会議,請求,予算レビュー 033（請求確認含む）,,経理部,佐藤 陽子,60498,完了,経理部で確認中。請求に関連する資料と照合予定。
09-034,2026-05-29,会議,会議,採用進捗 034（会議確認含む）,,総務部,鈴木 健太,61868,作成中,総務部で確認中。会議に関連する資料と照合予定。
09-035,2026-05-30,会議,契約,システム移行 035（契約確認含む）,,営業企画部,田中 美咲,63238,確認待ち,営業企画部で確認中。契約に関連する資料と照合予定。
09-036,2026-05-31,会議,見積,契約更新確認 036（見積確認含む）,,法務部,高橋 直樹,64608,承認済,法務部で確認中。見積に関連する資料と照合予定。
09-037,2026-06-01,会議,報告,営業定例 037（報告確認含む）,,人事部,伊藤 彩,65978,差戻し,人事部で確認中。報告に関連する資料と照合予定。
09-038,2026-06-02,会議,人事,予算レビュー 038（人事確認含む）,,情報システム部,渡辺 誠,67348,保留,情報システム部で確認中。人事に関連する資料と照合予定。
09-039,2026-06-03,会議,経費,採用進捗 039（経費確認含む）,,管理本部,小林 真由,68718,完了,管理本部で確認中。経費に関連する資料と照合予定。
09-040,2026-06-04,会議,請求,システム移行 040（請求確認含む）,,経理部,佐藤 陽子,70088,作成中,経理部で確認中。請求に関連する資料と照合予定。
09-041,2026-06-05,会議,会議,契約更新確認 041（会議確認含む）,,総務部,鈴木 健太,71458,確認待ち,総務部で確認中。会議に関連する資料と照合予定。
09-042,2026-06-06,会議,契約,営業定例 042（契約確認含む）,,営業企画部,田中 美咲,72828,承認済,営業企画部で確認中。契約に関連する資料と照合予定。
09-043,2026-06-07,会議,見積,予算レビュー 043（見積確認含む）,,法務部,高橋 直樹,74198,差戻し,法務部で確認中。見積に関連する資料と照合予定。
09-044,2026-06-08,会議,報告,採用進捗 044（報告確認含む）,,人事部,伊藤 彩,75568,保留,人事部で確認中。報告に関連する資料と照合予定。
09-045,2026-06-09,会議,人事,システム移行 045（人事確認含む）,,情報システム部,渡辺 誠,76938,完了,情報システム部で確認中。人事に関連する資料と照合予定。
09-046,2026-06-10,会議,経費,契約更新確認 046（経費確認含む）,,管理本部,小林 真由,78308,作成中,管理本部で確認中。経費に関連する資料と照合予定。
09-047,2026-06-11,会議,請求,営業定例 047（請求確認含む）,,経理部,佐藤 陽子,79678,確認待ち,経理部で確認中。請求に関連する資料と照合予定。
09-048,2026-06-12,会議,会議,予算レビュー 048（会議確認含む）,,総務部,鈴木 健太,81048,承認済,総務部で確認中。会議に関連する資料と照合予定。
09-049,2026-06-13,会議,契約,採用進捗 049（契約確認含む）,,営業企画部,田中 美咲,82418,差戻し,営業企画部で確認中。契約に関連する資料と照合予定。
09-050,2026-06-14,会議,見積,システム移行 050（見積確認含む）,,法務部,高橋 直樹,83788,保留,法務部で確認中。見積に関連する資料と照合予定。
09-051,2026-06-15,会議,報告,契約更新確認 051（報告確認含む）,,人事部,伊藤 彩,85158,完了,人事部で確認中。報告に関連する資料と照合予定。
09-052,2026-06-16,会議,人事,営業定例 052（人事確認含む）,,情報システム部,渡辺 誠,86528,作成中,情報システム部で確認中。人事に関連する資料と照合予定。
09-053,2026-06-17,会議,経費,予算レビュー 053（経費確認含む）,,管理本部,小林 真由,87898,確認待ち,管理本部で確認中。経費に関連する資料と照合予定。
09-054,2026-06-18,会議,請求,採用進捗 054（請求確認含む）,,経理部,佐藤 陽子,89268,承認済,経理部で確認中。請求に関連する資料と照合予定。
09-055,2026-06-19,会議,会議,システム移行 055（会議確認含む）,,総務部,鈴木 健太,90638,差戻し,総務部で確認中。会議に関連する資料と照合予定。
09-056,2026-06-20,会議,契約,契約更新確認 056（契約確認含む）,,営業企画部,田中 美咲,92008,保留,営業企画部で確認中。契約に関連する資料と照合予定。
09-057,2026-06-21,会議,見積,営業定例 057（見積確認含む）,,法務部,高橋 直樹,93378,完了,法務部で確認中。見積に関連する資料と照合予定。
09-058,2026-06-22,会議,報告,予算レビュー 058（報告確認含む）,,人事部,伊藤 彩,94748,作成中,人事部で確認中。報告に関連する資料と照合予定。
09-059,2026-06-23,会議,人事,採用進捗 059（人事確認含む）,,情報システム部,渡辺 誠,96118,確認待ち,情報システム部で確認中。人事に関連する資料と照合予定。
09-060,2026-06-24,会議,経費,システム移行 060（経費確認含む）,,管理本部,小林 真由,97488,承認済,管理本部で確認中。経費に関連する資料と照合予定。
09-061,2026-06-25,会議,請求,契約更新確認 061（請求確認含む）,,経理部,佐藤 陽子,98858,差戻し,経理部で確認中。請求に関連する資料と照合予定。
09-062,2026-06-26,会議,会議,営業定例 062（会議確認含む）,,総務部,鈴木 健太,100228,保留,総務部で確認中。会議に関連する資料と照合予定。
09-063,2026-06-27,会議,契約,予算レビュー 063（契約確認含む）,,営業企画部,田中 美咲,101598,完了,営業企画部で確認中。契約に関連する資料と照合予定。
09-064,2026-06-28,会議,見積,採用進捗 064（見積確認含む）,,法務部,高橋 直樹,102968,作成中,法務部で確認中。見積に関連する資料と照合予定。
09-065,2026-06-29,会議,報告,システム移行 065（報告確認含む）,,人事部,伊藤 彩,104338,確認待ち,人事部で確認中。報告に関連する資料と照合予定。
09-066,2026-06-30,会議,人事,契約更新確認 066（人事確認含む）,,情報システム部,渡辺 誠,105708,承認済,情報システム部で確認中。人事に関連する資料と照合予定。
09-067,2026-07-01,会議,経費,営業定例 067（経費確認含む）,,管理本部,小林 真由,107078,差戻し,管理本部で確認中。経費に関連する資料と照合予定。
09-068,2026-07-02,会議,請求,予算レビュー 068（請求確認含む）,,経理部,佐藤 陽子,108448,保留,経理部で確認中。請求に関連する資料と照合予定。
09-069,2026-07-03,会議,会議,採用進捗 069（会議確認含む）,,総務部,鈴木 健太,109818,完了,総務部で確認中。会議に関連する資料と照合予定。
09-070,2026-07-04,会議,契約,システム移行 070（契約確認含む）,,営業企画部,田中 美咲,111188,作成中,営業企画部で確認中。契約に関連する資料と照合予定。
09-071,2026-07-05,会議,見積,契約更新確認 071（見積確認含む）,,法務部,高橋 直樹,112558,確認待ち,法務部で確認中。見積に関連する資料と照合予定。
09-072,2026-07-06,会議,報告,営業定例 072（報告確認含む）,,人事部,伊藤 彩,113928,承認済,人事部で確認中。報告に関連する資料と照合予定。
09-073,2026-07-07,会議,人事,予算レビュー 073（人事確認含む）,,情報システム部,渡辺 誠,115298,差戻し,情報システム部で確認中。人事に関連する資料と照合予定。
09-074,2026-07-08,会議,経費,採用進捗 074（経費確認含む）,,管理本部,小林 真由,116668,保留,管理本部で確認中。経費に関連する資料と照合予定。
09-075,2026-07-09,会議,請求,システム移行 075（請求確認含む）,,経理部,佐藤 陽子,118038,完了,経理部で確認中。請求に関連する資料と照合予定。
09-076,2026-07-10,会議,会議,契約更新確認 076（会議確認含む）,,総務部,鈴木 健太,119408,作成中,総務部で確認中。会議に関連する資料と照合予定。
09-077,2026-07-11,会議,契約,営業定例 077（契約確認含む）,,営業企画部,田中 美咲,120778,確認待ち,営業企画部で確認中。契約に関連する資料と照合予定。
09-078,2026-07-12,会議,見積,予算レビュー 078（見積確認含む）,,法務部,高橋 直樹,122148,承認済,法務部で確認中。見積に関連する資料と照合予定。
09-079,2026-07-13,会議,報告,採用進捗 079（報告確認含む）,,人事部,伊藤 彩,123518,差戻し,人事部で確認中。報告に関連する資料と照合予定。
09-080,2026-07-14,会議,人事,システム移行 080（人事確認含む）,,情報システム部,渡辺 誠,124888,保留,情報システム部で確認中。人事に関連する資料と照合予定。
09-081,2026-07-15,会議,経費,契約更新確認 081（経費確認含む）,,管理本部,小林 真由,126258,完了,管理本部で確認中。経費に関連する資料と照合予定。
09-082,2026-07-16,会議,請求,営業定例 082（請求確認含む）,,経理部,佐藤 陽子,127628,作成中,経理部で確認中。請求に関連する資料と照合予定。
09-083,2026-07-17,会議,会議,予算レビュー 083（会議確認含む）,,総務部,鈴木 健太,128998,確認待ち,総務部で確認中。会議に関連する資料と照合予定。
09-084,2026-07-18,会議,契約,採用進捗 084（契約確認含む）,,営業企画部,田中 美咲,130368,承認済,営業企画部で確認中。契約に関連する資料と照合予定。
09-085,2026-07-19,会議,見積,システム移行 085（見積確認含む）,,法務部,高橋 直樹,131738,差戻し,法務部で確認中。見積に関連する資料と照合予定。
09-086,2026-07-20,会議,報告,契約更新確認 086（報告確認含む）,,人事部,伊藤 彩,133108,保留,人事部で確認中。報告に関連する資料と照合予定。
