会社名,契約番号,契約先,契約種別,開始日,終了日,契約金額,更新区分,管理担当,状態
株式会社中央技研,CTR-26-026,株式会社瑞穂設備,業務委託契約,2026-05-24,2027-05-23,725000,都度更新,小林 真由,更新協議中
株式会社中央技研,CTR-26-027,港南リサーチ株式会社,保守契約,2026-05-25,2027-05-24,850000,更新なし,佐藤 陽子,社内審査中
株式会社中央技研,CTR-26-028,株式会社千代田ソリューション,秘密保持契約,2026-05-26,2027-05-25,975000,自動更新,鈴木 健太,先方確認中
株式会社中央技研,CTR-26-029,橘建材株式会社,基本取引契約,2026-05-27,2027-05-26,1100000,都度更新,田中 美咲,締結済
株式会社中央技研,CTR-26-030,京橋データワークス株式会社,施設管理契約,2026-05-28,2027-05-27,1225000,更新なし,高橋 直樹,更新協議中
株式会社中央技研,CTR-26-031,株式会社桜丘ロジスティクス,業務委託契約,2026-05-29,2027-05-27,1350000,自動更新,伊藤 彩,社内審査中
株式会社中央技研,CTR-26-032,北浜製作所株式会社,保守契約,2026-05-30,2027-05-27,1475000,都度更新,渡辺 誠,先方確認中
株式会社中央技研,CTR-26-033,合同会社六本木デザイン,秘密保持契約,2026-05-31,2027-05-27,1600000,更新なし,小林 真由,締結済
株式会社中央技研,CTR-26-034,株式会社東都メディア,基本取引契約,2026-06-01,2027-05-31,1725000,自動更新,佐藤 陽子,更新協議中
株式会社中央技研,CTR-26-035,南青山フーズ株式会社,施設管理契約,2026-06-02,2027-06-01,1850000,都度更新,鈴木 健太,社内審査中
株式会社中央技研,CTR-26-036,株式会社瑞穂設備,業務委託契約,2026-06-03,2027-06-02,1975000,更新なし,田中 美咲,先方確認中
株式会社中央技研,CTR-26-037,港南リサーチ株式会社,保守契約,2026-06-04,2027-06-03,600000,自動更新,高橋 直樹,締結済
株式会社中央技研,CTR-26-038,株式会社千代田ソリューション,秘密保持契約,2026-06-05,2027-06-04,725000,都度更新,伊藤 彩,更新協議中
株式会社中央技研,CTR-26-039,橘建材株式会社,基本取引契約,2026-06-06,2027-06-05,850000,更新なし,渡辺 誠,社内審査中
株式会社中央技研,CTR-26-040,京橋データワークス株式会社,施設管理契約,2026-06-07,2027-06-06,975000,自動更新,小林 真由,先方確認中
株式会社中央技研,CTR-26-041,株式会社桜丘ロジスティクス,業務委託契約,2026-06-08,2027-06-07,1100000,都度更新,佐藤 陽子,締結済
株式会社中央技研,CTR-26-042,北浜製作所株式会社,保守契約,2026-06-09,2027-06-08,1225000,更新なし,鈴木 健太,更新協議中
株式会社中央技研,CTR-26-043,合同会社六本木デザイン,秘密保持契約,2026-06-10,2027-06-09,1350000,自動更新,田中 美咲,社内審査中
株式会社中央技研,CTR-26-044,株式会社東都メディア,基本取引契約,2026-06-11,2027-06-10,1475000,都度更新,高橋 直樹,先方確認中
株式会社中央技研,CTR-26-045,南青山フーズ株式会社,施設管理契約,2026-06-12,2027-06-11,1600000,更新なし,伊藤 彩,締結済
株式会社中央技研,CTR-26-046,株式会社瑞穂設備,業務委託契約,2026-06-13,2027-06-12,1725000,自動更新,渡辺 誠,更新協議中
株式会社中央技研,CTR-26-047,港南リサーチ株式会社,保守契約,2026-06-14,2027-06-13,1850000,都度更新,小林 真由,社内審査中
株式会社中央技研,CTR-26-048,株式会社千代田ソリューション,秘密保持契約,2026-06-15,2027-06-14,1975000,更新なし,佐藤 陽子,先方確認中
株式会社中央技研,CTR-26-049,橘建材株式会社,基本取引契約,2026-06-16,2027-06-15,600000,自動更新,鈴木 健太,締結済
株式会社中央技研,CTR-26-050,京橋データワークス株式会社,施設管理契約,2026-06-17,2027-06-16,725000,都度更新,田中 美咲,更新協議中
株式会社中央技研,CTR-26-051,株式会社桜丘ロジスティクス,業務委託契約,2026-06-18,2027-06-17,850000,更新なし,高橋 直樹,社内審査中
株式会社中央技研,CTR-26-052,北浜製作所株式会社,保守契約,2026-06-19,2027-06-18,975000,自動更新,伊藤 彩,先方確認中
株式会社中央技研,CTR-26-053,合同会社六本木デザイン,秘密保持契約,2026-06-20,2027-06-19,1100000,都度更新,渡辺 誠,締結済
株式会社中央技研,CTR-26-054,株式会社東都メディア,基本取引契約,2026-06-21,2027-06-20,1225000,更新なし,小林 真由,更新協議中
株式会社中央技研,CTR-26-055,南青山フーズ株式会社,施設管理契約,2026-06-22,2027-06-21,1350000,自動更新,佐藤 陽子,社内審査中
株式会社中央技研,CTR-26-056,株式会社瑞穂設備,業務委託契約,2026-06-23,2027-06-22,1475000,都度更新,鈴木 健太,先方確認中
株式会社中央技研,CTR-26-057,港南リサーチ株式会社,保守契約,2026-06-24,2027-06-23,1600000,更新なし,田中 美咲,締結済
株式会社中央技研,CTR-26-058,株式会社千代田ソリューション,秘密保持契約,2026-06-25,2027-06-24,1725000,自動更新,高橋 直樹,更新協議中
株式会社中央技研,CTR-26-059,橘建材株式会社,基本取引契約,2026-06-26,2027-06-25,1850000,都度更新,伊藤 彩,社内審査中
株式会社中央技研,CTR-26-060,京橋データワークス株式会社,施設管理契約,2026-06-27,2027-06-26,1975000,更新なし,渡辺 誠,先方確認中
株式会社中央技研,CTR-26-061,株式会社桜丘ロジスティクス,業務委託契約,2026-06-28,2027-06-27,600000,自動更新,小林 真由,締結済
株式会社中央技研,CTR-26-062,北浜製作所株式会社,保守契約,2026-06-29,2027-06-27,725000,都度更新,佐藤 陽子,更新協議中
株式会社中央技研,CTR-26-063,合同会社六本木デザイン,秘密保持契約,2026-06-30,2027-06-27,850000,更新なし,鈴木 健太,社内審査中
株式会社中央技研,CTR-26-064,株式会社東都メディア,基本取引契約,2026-07-01,2027-06-30,975000,自動更新,田中 美咲,先方確認中
株式会社中央技研,CTR-26-065,南青山フーズ株式会社,施設管理契約,2026-07-02,2027-07-01,1100000,都度更新,高橋 直樹,締結済
株式会社中央技研,CTR-26-066,株式会社瑞穂設備,業務委託契約,2026-07-03,2027-07-02,1225000,更新なし,伊藤 彩,更新協議中
株式会社中央技研,CTR-26-067,港南リサーチ株式会社,保守契約,2026-07-04,2027-07-03,1350000,自動更新,渡辺 誠,社内審査中
株式会社中央技研,CTR-26-068,株式会社千代田ソリューション,秘密保持契約,2026-07-05,2027-07-04,1475000,都度更新,小林 真由,先方確認中
株式会社中央技研,CTR-26-069,橘建材株式会社,基本取引契約,2026-07-06,2027-07-05,1600000,更新なし,佐藤 陽子,締結済
株式会社中央技研,CTR-26-070,京橋データワークス株式会社,施設管理契約,2026-07-07,2027-07-06,1725000,自動更新,鈴木 健太,更新協議中
株式会社中央技研,CTR-26-071,株式会社桜丘ロジスティクス,業務委託契約,2026-07-08,2027-07-07,1850000,都度更新,田中 美咲,社内審査中
株式会社中央技研,CTR-26-072,北浜製作所株式会社,保守契約,2026-07-09,2027-07-08,1975000,更新なし,高橋 直樹,先方確認中
株式会社中央技研,CTR-26-073,合同会社六本木デザイン,秘密保持契約,2026-07-10,2027-07-09,600000,自動更新,伊藤 彩,締結済
株式会社中央技研,CTR-26-074,株式会社東都メディア,基本取引契約,2026-07-11,2027-07-10,725000,都度更新,渡辺 誠,更新協議中
株式会社中央技研,CTR-26-075,南青山フーズ株式会社,施設管理契約,2026-07-12,2027-07-11,850000,更新なし,小林 真由,社内審査中
株式会社中央技研,CTR-26-076,株式会社瑞穂設備,業務委託契約,2026-07-13,2027-07-12,975000,自動更新,佐藤 陽子,先方確認中
株式会社中央技研,CTR-26-077,港南リサーチ株式会社,保守契約,2026-07-14,2027-07-13,1100000,都度更新,鈴木 健太,締結済
株式会社中央技研,CTR-26-078,株式会社千代田ソリューション,秘密保持契約,2026-07-15,2027-07-14,1225000,更新なし,田中 美咲,更新協議中
株式会社中央技研,CTR-26-079,橘建材株式会社,基本取引契約,2026-07-16,2027-07-15,1350000,自動更新,高橋 直樹,社内審査中
株式会社中央技研,CTR-26-080,京橋データワークス株式会社,施設管理契約,2026-07-17,2027-07-16,1475000,都度更新,伊藤 彩,先方確認中
株式会社中央技研,CTR-26-081,株式会社桜丘ロジスティクス,業務委託契約,2026-07-18,2027-07-17,1600000,更新なし,渡辺 誠,締結済
株式会社中央技研,CTR-26-082,北浜製作所株式会社,保守契約,2026-07-19,2027-07-18,1725000,自動更新,小林 真由,更新協議中
株式会社中央技研,CTR-26-083,合同会社六本木デザイン,秘密保持契約,2026-07-20,2027-07-19,1850000,都度更新,佐藤 陽子,社内審査中
株式会社中央技研,CTR-26-084,株式会社東都メディア,基本取引契約,2026-07-21,2027-07-20,1975000,更新なし,鈴木 健太,先方確認中
株式会社中央技研,CTR-26-085,南青山フーズ株式会社,施設管理契約,2026-07-22,2027-07-21,600000,自動更新,田中 美咲,締結済
株式会社中央技研,CTR-26-086,株式会社瑞穂設備,業務委託契約,2026-07-23,2027-07-22,725000,都度更新,高橋 直樹,更新協議中
株式会社中央技研,CTR-26-087,港南リサーチ株式会社,保守契約,2026-07-24,2027-07-23,850000,更新なし,伊藤 彩,社内審査中
株式会社中央技研,CTR-26-088,株式会社千代田ソリューション,秘密保持契約,2026-07-25,2027-07-24,975000,自動更新,渡辺 誠,先方確認中
株式会社中央技研,CTR-26-089,橘建材株式会社,基本取引契約,2026-07-26,2027-07-25,1100000,都度更新,小林 真由,締結済
株式会社中央技研,CTR-26-090,京橋データワークス株式会社,施設管理契約,2026-07-27,2027-07-26,1225000,更新なし,佐藤 陽子,更新協議中
株式会社中央技研,CTR-26-091,株式会社桜丘ロジスティクス,業務委託契約,2026-07-28,2027-07-27,1350000,自動更新,鈴木 健太,社内審査中
株式会社中央技研,CTR-26-092,北浜製作所株式会社,保守契約,2026-07-29,2027-07-27,1475000,都度更新,田中 美咲,先方確認中
株式会社中央技研,CTR-26-093,合同会社六本木デザイン,秘密保持契約,2026-07-30,2027-07-27,1600000,更新なし,高橋 直樹,締結済
株式会社中央技研,CTR-26-094,株式会社東都メディア,基本取引契約,2026-07-31,2027-07-27,1725000,自動更新,伊藤 彩,更新協議中
株式会社中央技研,CTR-26-095,南青山フーズ株式会社,施設管理契約,2026-08-01,2027-07-31,1850000,都度更新,渡辺 誠,社内審査中
株式会社中央技研,CTR-26-096,株式会社瑞穂設備,業務委託契約,2026-08-02,2027-08-01,1975000,更新なし,小林 真由,先方確認中
株式会社中央技研,CTR-26-097,港南リサーチ株式会社,保守契約,2026-08-03,2027-08-02,600000,自動更新,佐藤 陽子,締結済
株式会社中央技研,CTR-26-098,株式会社千代田ソリューション,秘密保持契約,2026-08-04,2027-08-03,725000,都度更新,鈴木 健太,更新協議中
株式会社中央技研,CTR-26-099,橘建材株式会社,基本取引契約,2026-08-05,2027-08-04,850000,更新なし,田中 美咲,社内審査中
株式会社中央技研,CTR-26-100,京橋データワークス株式会社,施設管理契約,2026-08-06,2027-08-05,975000,自動更新,高橋 直樹,先方確認中
