No,日付,分類,関連分類,件名,取引先,部署,担当,金額,状態,メモ
08-017,2026-05-09,請求,見積,設備点検費 017（見積確認含む）,株式会社白峰システムズ,法務部,高橋 直樹,37667,作成中,法務部で確認中。見積に関連する資料と照合予定。
08-018,2026-05-10,請求,報告,保守運用費 018（報告確認含む）,株式会社桜丘ロジスティクス,人事部,伊藤 彩,39037,確認待ち,人事部で確認中。報告に関連する資料と照合予定。
08-019,2026-05-11,請求,人事,追加開発費 019（人事確認含む）,北浜製作所株式会社,情報システム部,渡辺 誠,40407,承認済,情報システム部で確認中。人事に関連する資料と照合予定。
08-020,2026-05-12,請求,経費,月額利用料 020（経費確認含む）,合同会社六本木デザイン,管理本部,小林 真由,41777,差戻し,管理本部で確認中。経費に関連する資料と照合予定。
08-021,2026-05-13,請求,請求,広告運用手数料 021（請求確認含む）,株式会社東都メディア,経理部,佐藤 陽子,43147,保留,経理部で確認中。請求に関連する資料と照合予定。
08-022,2026-05-14,請求,会議,設備点検費 022（会議確認含む）,南青山フーズ株式会社,総務部,鈴木 健太,44517,完了,総務部で確認中。会議に関連する資料と照合予定。
08-023,2026-05-15,請求,契約,保守運用費 023（契約確認含む）,株式会社瑞穂設備,営業企画部,田中 美咲,45887,作成中,営業企画部で確認中。契約に関連する資料と照合予定。
08-024,2026-05-16,請求,見積,追加開発費 024（見積確認含む）,港南リサーチ株式会社,法務部,高橋 直樹,47257,確認待ち,法務部で確認中。見積に関連する資料と照合予定。
08-025,2026-05-17,請求,報告,月額利用料 025（報告確認含む）,株式会社千代田ソリューション,人事部,伊藤 彩,48627,承認済,人事部で確認中。報告に関連する資料と照合予定。
08-026,2026-05-18,請求,人事,広告運用手数料 026（人事確認含む）,,情報システム部,渡辺 誠,49997,差戻し,情報システム部で確認中。人事に関連する資料と照合予定。
08-027,2026-05-19,請求,経費,設備点検費 027（経費確認含む）,株式会社晴海オフィスサービス,管理本部,小林 真由,51367,保留,管理本部で確認中。経費に関連する資料と照合予定。
08-028,2026-05-20,請求,請求,保守運用費 028（請求確認含む）,京橋データワークス株式会社,経理部,佐藤 陽子,52737,完了,経理部で確認中。請求に関連する資料と照合予定。
08-029,2026-05-21,請求,会議,追加開発費 029（会議確認含む）,株式会社白峰システムズ,総務部,鈴木 健太,54107,作成中,総務部で確認中。会議に関連する資料と照合予定。
08-030,2026-05-22,請求,契約,月額利用料 030（契約確認含む）,株式会社桜丘ロジスティクス,営業企画部,田中 美咲,55477,確認待ち,営業企画部で確認中。契約に関連する資料と照合予定。
08-031,2026-05-23,請求,見積,広告運用手数料 031（見積確認含む）,北浜製作所株式会社,法務部,高橋 直樹,56847,承認済,法務部で確認中。見積に関連する資料と照合予定。
08-032,2026-05-24,請求,報告,設備点検費 032（報告確認含む）,合同会社六本木デザイン,人事部,伊藤 彩,58217,差戻し,人事部で確認中。報告に関連する資料と照合予定。
08-033,2026-05-25,請求,人事,保守運用費 033（人事確認含む）,株式会社東都メディア,情報システム部,渡辺 誠,59587,保留,情報システム部で確認中。人事に関連する資料と照合予定。
08-034,2026-05-26,請求,経費,追加開発費 034（経費確認含む）,南青山フーズ株式会社,管理本部,小林 真由,60957,完了,管理本部で確認中。経費に関連する資料と照合予定。
08-035,2026-05-27,請求,請求,月額利用料 035（請求確認含む）,株式会社瑞穂設備,経理部,佐藤 陽子,62327,作成中,経理部で確認中。請求に関連する資料と照合予定。
08-036,2026-05-28,請求,会議,広告運用手数料 036（会議確認含む）,港南リサーチ株式会社,総務部,鈴木 健太,63697,確認待ち,総務部で確認中。会議に関連する資料と照合予定。
08-037,2026-05-29,請求,契約,設備点検費 037（契約確認含む）,,営業企画部,田中 美咲,65067,承認済,営業企画部で確認中。契約に関連する資料と照合予定。
08-038,2026-05-30,請求,見積,保守運用費 038（見積確認含む）,橘建材株式会社,法務部,高橋 直樹,66437,差戻し,法務部で確認中。見積に関連する資料と照合予定。
08-039,2026-05-31,請求,報告,追加開発費 039（報告確認含む）,株式会社晴海オフィスサービス,人事部,伊藤 彩,67807,保留,人事部で確認中。報告に関連する資料と照合予定。
08-040,2026-06-01,請求,人事,月額利用料 040（人事確認含む）,京橋データワークス株式会社,情報システム部,渡辺 誠,69177,完了,情報システム部で確認中。人事に関連する資料と照合予定。
08-041,2026-06-02,請求,経費,広告運用手数料 041（経費確認含む）,株式会社白峰システムズ,管理本部,小林 真由,70547,作成中,管理本部で確認中。経費に関連する資料と照合予定。
08-042,2026-06-03,請求,請求,設備点検費 042（請求確認含む）,株式会社桜丘ロジスティクス,経理部,佐藤 陽子,71917,確認待ち,経理部で確認中。請求に関連する資料と照合予定。
08-043,2026-06-04,請求,会議,保守運用費 043（会議確認含む）,北浜製作所株式会社,総務部,鈴木 健太,73287,承認済,総務部で確認中。会議に関連する資料と照合予定。
08-044,2026-06-05,請求,契約,追加開発費 044（契約確認含む）,合同会社六本木デザイン,営業企画部,田中 美咲,74657,差戻し,営業企画部で確認中。契約に関連する資料と照合予定。
08-045,2026-06-06,請求,見積,月額利用料 045（見積確認含む）,株式会社東都メディア,法務部,高橋 直樹,76027,保留,法務部で確認中。見積に関連する資料と照合予定。
08-046,2026-06-07,請求,報告,広告運用手数料 046（報告確認含む）,南青山フーズ株式会社,人事部,伊藤 彩,77397,完了,人事部で確認中。報告に関連する資料と照合予定。
08-047,2026-06-08,請求,人事,設備点検費 047（人事確認含む）,株式会社瑞穂設備,情報システム部,渡辺 誠,78767,作成中,情報システム部で確認中。人事に関連する資料と照合予定。
08-048,2026-06-09,請求,経費,保守運用費 048（経費確認含む）,,管理本部,小林 真由,80137,確認待ち,管理本部で確認中。経費に関連する資料と照合予定。
08-049,2026-06-10,請求,請求,追加開発費 049（請求確認含む）,株式会社千代田ソリューション,経理部,佐藤 陽子,81507,承認済,経理部で確認中。請求に関連する資料と照合予定。
08-050,2026-06-11,請求,会議,月額利用料 050（会議確認含む）,橘建材株式会社,総務部,鈴木 健太,82877,差戻し,総務部で確認中。会議に関連する資料と照合予定。
08-051,2026-06-12,請求,契約,広告運用手数料 051（契約確認含む）,株式会社晴海オフィスサービス,営業企画部,田中 美咲,84247,保留,営業企画部で確認中。契約に関連する資料と照合予定。
08-052,2026-06-13,請求,見積,設備点検費 052（見積確認含む）,京橋データワークス株式会社,法務部,高橋 直樹,85617,完了,法務部で確認中。見積に関連する資料と照合予定。
08-053,2026-06-14,請求,報告,保守運用費 053（報告確認含む）,株式会社白峰システムズ,人事部,伊藤 彩,86987,作成中,人事部で確認中。報告に関連する資料と照合予定。
08-054,2026-06-15,請求,人事,追加開発費 054（人事確認含む）,株式会社桜丘ロジスティクス,情報システム部,渡辺 誠,88357,確認待ち,情報システム部で確認中。人事に関連する資料と照合予定。
08-055,2026-06-16,請求,経費,月額利用料 055（経費確認含む）,北浜製作所株式会社,管理本部,小林 真由,89727,承認済,管理本部で確認中。経費に関連する資料と照合予定。
08-056,2026-06-17,請求,請求,広告運用手数料 056（請求確認含む）,合同会社六本木デザイン,経理部,佐藤 陽子,91097,差戻し,経理部で確認中。請求に関連する資料と照合予定。
08-057,2026-06-18,請求,会議,設備点検費 057（会議確認含む）,株式会社東都メディア,総務部,鈴木 健太,92467,保留,総務部で確認中。会議に関連する資料と照合予定。
08-058,2026-06-19,請求,契約,保守運用費 058（契約確認含む）,南青山フーズ株式会社,営業企画部,田中 美咲,93837,完了,営業企画部で確認中。契約に関連する資料と照合予定。
08-059,2026-06-20,請求,見積,追加開発費 059（見積確認含む）,,法務部,高橋 直樹,95207,作成中,法務部で確認中。見積に関連する資料と照合予定。
08-060,2026-06-21,請求,報告,月額利用料 060（報告確認含む）,港南リサーチ株式会社,人事部,伊藤 彩,96577,確認待ち,人事部で確認中。報告に関連する資料と照合予定。
08-061,2026-06-22,請求,人事,広告運用手数料 061（人事確認含む）,株式会社千代田ソリューション,情報システム部,渡辺 誠,97947,承認済,情報システム部で確認中。人事に関連する資料と照合予定。
08-062,2026-06-23,請求,経費,設備点検費 062（経費確認含む）,橘建材株式会社,管理本部,小林 真由,99317,差戻し,管理本部で確認中。経費に関連する資料と照合予定。
08-063,2026-06-24,請求,請求,保守運用費 063（請求確認含む）,株式会社晴海オフィスサービス,経理部,佐藤 陽子,100687,保留,経理部で確認中。請求に関連する資料と照合予定。
08-064,2026-06-25,請求,会議,追加開発費 064（会議確認含む）,京橋データワークス株式会社,総務部,鈴木 健太,102057,完了,総務部で確認中。会議に関連する資料と照合予定。
08-065,2026-06-26,請求,契約,月額利用料 065（契約確認含む）,株式会社白峰システムズ,営業企画部,田中 美咲,103427,作成中,営業企画部で確認中。契約に関連する資料と照合予定。
08-066,2026-06-27,請求,見積,広告運用手数料 066（見積確認含む）,株式会社桜丘ロジスティクス,法務部,高橋 直樹,104797,確認待ち,法務部で確認中。見積に関連する資料と照合予定。
08-067,2026-06-28,請求,報告,設備点検費 067（報告確認含む）,北浜製作所株式会社,人事部,伊藤 彩,106167,承認済,人事部で確認中。報告に関連する資料と照合予定。
08-068,2026-06-29,請求,人事,保守運用費 068（人事確認含む）,合同会社六本木デザイン,情報システム部,渡辺 誠,107537,差戻し,情報システム部で確認中。人事に関連する資料と照合予定。
08-069,2026-06-30,請求,経費,追加開発費 069（経費確認含む）,株式会社東都メディア,管理本部,小林 真由,108907,保留,管理本部で確認中。経費に関連する資料と照合予定。
08-070,2026-07-01,請求,請求,月額利用料 070（請求確認含む）,,経理部,佐藤 陽子,110277,完了,経理部で確認中。請求に関連する資料と照合予定。
08-071,2026-07-02,請求,会議,広告運用手数料 071（会議確認含む）,株式会社瑞穂設備,総務部,鈴木 健太,111647,作成中,総務部で確認中。会議に関連する資料と照合予定。
08-072,2026-07-03,請求,契約,設備点検費 072（契約確認含む）,港南リサーチ株式会社,営業企画部,田中 美咲,113017,確認待ち,営業企画部で確認中。契約に関連する資料と照合予定。
